id,q_id,method,retrieve_text,score,source
1,1,固定大小,台灣的太空之眼：「福衛八號」進擊之路 回到地面，我們看到的這些衛星影像，來自國家太空中心一座不眠不休的機房，他們把衛星回傳的一包包數據，解碼、校正、重組成可以被讀懂的地表語言，比如崩塌的山坡、被海水淹沒的村落、油汙蔓延的海岸線。 如今，這套技術不僅讓台灣能夠監測自己的土地，也能讓我們在世界各地發生災害的第一時間，即時提供關鍵資訊，衛星影像正在成為台灣參與國際的新語言。 從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正 走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片。 校正流程分為「輻射校正」與「幾何校正」，前者是為了修正大氣或儀器本身帶來的系統性偏差，讓每個像素都能夠反映真實的光強度；後者則是搭配地理影像控制與數值地形模型，校準每一張影像的地理坐標，使其能與地圖、地形精準重疊。當山脈的輪廓開始對齊、河,0.68457,data_02.txt
2,1,滑動視窗,台灣的太空之眼：「福衛八號」進擊之路 回到地面，我們看到的這些衛星影像，來自國家太空中心一座不眠不休的機房，他們把衛星回傳的一包包數據，解碼、校正、重組成可以被讀懂的地表語言，比如崩塌的山坡、被海水淹沒的村落、油汙蔓延的海岸線。 如今，這套技術不僅讓台灣能夠監測自己的土地，也能讓我們在世界各地發生災害的第一時間，即時提供關鍵資訊，衛星影像正在成為台灣參與國際的新語言。 從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正 走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片。 校正流程分為「輻射校正」與「幾何校正」，前者是為了修正大氣或儀器本身帶來的系統性偏差，讓每個像素都能夠反映真實的光強度；後者則是搭配地理影像控制與數值地形模型，校準每一張影像的地理坐標，使其能與地圖、地形精準重疊。當山脈的輪廓開始對齊、河,0.68457,data_02.txt
3,1,語意切塊,台灣的太空之眼：「福衛八號」進擊之路 回到地面，我們看到的這些衛星影像，來自國家太空中心一座不眠不休的機房，他們把衛星回傳的一包包數據，解碼、校正、重組成可以被讀懂的地表語言，比如崩塌的山坡、被海水淹沒的村落、油汙蔓延的海岸線。！？； 如今，這套技術不僅讓台灣能夠監測自己的土地，也能讓我們在世界各地發生災害的第一時間，即時提供關鍵資訊，衛星影像正在成為台灣參與國際的新語言。！？； 從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正 走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。！？；接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片。！？； 校正流程分為「輻射校正」與「幾何校正」，前者是為了修正大氣或儀器本身帶來的系統性偏差，讓每個像素都能夠反映真實的光強度；,0.675293,data_02.txt
4,2,固定大小,消失的住院醫師 健保兆元時代，擋得住「直美」風潮與急重難科持續失血嗎？ 醫院急重症人力崩塌持續擴大，20年前的內外婦兒「四大皆空」、10年前變成內外婦兒急「五大皆空」，到了今年（2025），甚至因為神經內科24小時取栓的過勞、也引發出走潮，再累加至內外婦兒急神經「六大皆空」。 《報導者》2024年年底推出《誰掏空了醫院人力》專題，以數據資料解析30年最大一波的護理人力出走潮，離開的護理師去哪裡？哪些醫院最留不住人？同時揭露，自費診所3年開了300家，成為急重症科人力巨大的磁石。 數月後我們持續追蹤，醫院人力失血沒有止住，今年度各大醫院多個困難科住院醫師招收持續創新低，我們取得專科醫學會的資料、走訪醫學中心現場，由專家依臨床照顧人力需求指引，完整呈現醫療人力走勢：哪些是人力極度缺乏的紅區、哪裡是拉警報的黃區、哪裡又是搶破頭的綠區？此外，更深度下探不同專科內嚴重的「科內不均」現象，大專科人力總額不足辨識真正乏人問津、卻不能沒有的次專科分布，衛福部和醫策會長年未完成真正的醫療人力盤點與調查，《報導者》整合多個資料，讓台灣次專科分布圖輪廓首度被看見。 然而，不以專科發展為目標的年輕住院醫師，不,0.608887,data_03.txt
5,2,滑動視窗,會。 2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票是否合理，各界可以擴大討論，並且從現在開始，監督可行政策兌現的速度。,0.684082,data_03.txt
6,2,語意切塊,圖讓大眾重新看見：醫療的價值與真諦。！？；而守護這個價值的任務，不只是醫師本身、更是全體社會。！？； 2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。！？；我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票是否合理，各界可以擴大討論，並且從現在開始，監督可行政策兌現的速度。！？；,0.698242,data_03.txt
7,3,固定大小,勢、乃至2026年的全球局勢可能帶來的影響：伊朗人民為何冒著生命危險憤怒上街？面對宿敵的政治動盪，美國、以色列與中東其他國家各有什麼盤算與反應？而在起義與鎮壓對撞的血腥衝突中，伊朗又是否真已跨在政權更迭、甚至是王朝復辟的門檻上？ Q1：伊朗發生了什麼事，為什麼人民寧可冒著生命危險也要上街抗議？ A：在示威浪潮席捲全國之前，伊朗正面臨著數十年來最嚴重的經濟危機，除了官方貨幣里亞爾（Rial）急遽貶值至歷史最低點，伊朗2025年國內通膨率更超過40%，糧食與日用品等民生物價在短短半年內上漲逾60%，其中牛奶、雞蛋與麵包等基本食物的價格，更是飆漲了1倍以上。極為沉重的蕭條壓力，這才逼使走投無路的伊朗人民湧上街頭。 一開始，示威行動只是零星出現，但隨著通膨問題的快速惡化，以都市商人為主的市場商販公會，也從2025年12月開始加入罷工罷市的抗爭行列──此舉，大幅升級並凝聚了伊朗國內對於政府施政不力的憤怒情緒，示威行動亦從首都德黑蘭，迅速蔓延至全國各級城市。 事實上，撼動伊朗政局的這波經濟危機，背後主要有三大原因： 國際社會重新收緊的經濟制裁與石油禁運； 2025年6月以色列與美國對伊朗發動的跨境,0.621094,data_01.txt
8,3,滑動視窗,因政治局勢而通膨失控的民生物價。同時，水庫缺水導致的發電停擺，也讓伊朗各大城市不僅面臨限水，還得面對比往年更加嚴重的限電窘境。 在天災、人禍與戰爭風險同步包夾的多重壓力下，伊朗社會的痛苦指數終於在2025年底攀升至臨界點。儘管伊朗政府為了舒緩民怨，試圖釋放改革訊號，並局部放寬過去因宗教理由而設下的娛樂禁令與部分社會限制，但在國內經濟瀕臨崩潰的現實下，既憤怒又絕望的伊朗民眾即便明知政府必會回應以暴力鎮壓，仍選擇走上街頭，群起掀起一波足以動搖威權統治的抗爭巨浪。 Q2：伊朗政權過去如何回應大規模示威？這一波衝突為何格外嚴重？ A：儘管伊朗是全球公民自由度最低的國家之一，但過去30年來，伊朗國內每2、3年就會出現一次大規模的全國性政治抗爭。其中，又以2009年因質疑總統大選舞弊而爆發的「綠色抗爭」（Green Movement），以及2022年為替遭宗教警察逮捕、並在拘留期間死亡的伊朗女性瑪莎・艾米尼（Mahsa Amini）討回公道的「艾米尼抗爭」（亦被稱為「女性、生命、自由抗爭」），最受到國際社會的高度關注與聲援。伊朗國內絕大多數的官民衝突，多與本次示威起因相似，源自對生活成本飆漲、失業,0.593262,data_01.txt
9,3,語意切塊,命」、「推翻伊斯蘭共和國」，甚至是「復辟巴勒維王朝（Pahlavi dynasty）」的口號。！？； 《報導者》整理了5個問答，試圖說明這場伊朗抗爭，對中東局勢、乃至2026年的全球局勢可能帶來的影響：伊朗人民為何冒著生命危險憤怒上街？；面對宿敵的政治動盪，美國、以色列與中東其他國家各有什麼盤算與反應？；而在起義與鎮壓對撞的血腥衝突中，伊朗又是否真已跨在政權更迭、甚至是王朝復辟的門檻上？； Q1：伊朗發生了什麼事，為什麼人民寧可冒著生命危險也要上街抗議？； A：在示威浪潮席捲全國之前，伊朗正面臨著數十年來最嚴重的經濟危機，除了官方貨幣里亞爾（Rial）急遽貶值至歷史最低點，伊朗2025年國內通膨率更超過40%，糧食與日用品等民生物價在短短半年內上漲逾60%，其中牛奶、雞蛋與麵包等基本食物的價格，更是飆漲了1倍以上。！？；極為沉重的蕭條壓力，這才逼使走投無路的伊朗人民湧上街頭。！？；,0.653809,data_01.txt
10,4,固定大小,生經濟崩潰、政府暴力鎮壓異議示威，國王委以大權卻極為貪婪與殘酷的祕密警察單位「薩瓦克」（Savak），更曾是伊朗人民恨之入骨的暴政象徵。 但巴勒維王朝的覆滅，已經是47年前的往事。對於國民年齡中位數只有34歲、6成人口都在40歲以下的現代伊朗而言，舊王朝的威權暴政已是上一代的陌生歷史，但對伊朗伊斯蘭共和國的失望與憤怒卻還是現實裡的日常進行式。因此，當伊朗街頭響起「讓巴勒維王朝回來統治我們」、「國王萬歲！」之際，這些口號反映的其實不是對君主統治的懷念與擁戴，而更像是一種情緒性的宣洩──一種對1979年革命與伊朗伊斯蘭共和國的全面否定與挑釁。 Q4：川普向伊朗示威者喊話「救兵快來了」，是否可能逆轉抗爭局勢？ A：在伊朗政府全面切斷網路並開始武力鎮壓的同時，國際社會也非常關注美國總統川普的下一步行動。這一方面是因為川普政府一直視伊朗政府為全球最大的反美恐怖主義支持者，在2025年6月美軍轟炸伊朗核設施的行動之後，華府要求德黑蘭放棄發展核武的核談判也一直沒進展，這都讓川普非常不耐煩。另一方面，則是1月3日美軍突襲委內瑞拉、以「毒品恐怖主義通緝犯」之由逮捕委內瑞拉總統馬杜洛（Nicolás Ma,0.690918,data_01.txt
11,4,滑動視窗,長子誕生，曾下令在伊朗各大城市上空空投玫瑰花瓣。在巴勒維王朝末年，伊朗國內同樣苦於貧富差距極端化、民生經濟崩潰、政府暴力鎮壓異議示威，國王委以大權卻極為貪婪與殘酷的祕密警察單位「薩瓦克」（Savak），更曾是伊朗人民恨之入骨的暴政象徵。 但巴勒維王朝的覆滅，已經是47年前的往事。對於國民年齡中位數只有34歲、6成人口都在40歲以下的現代伊朗而言，舊王朝的威權暴政已是上一代的陌生歷史，但對伊朗伊斯蘭共和國的失望與憤怒卻還是現實裡的日常進行式。因此，當伊朗街頭響起「讓巴勒維王朝回來統治我們」、「國王萬歲！」之際，這些口號反映的其實不是對君主統治的懷念與擁戴，而更像是一種情緒性的宣洩──一種對1979年革命與伊朗伊斯蘭共和國的全面否定與挑釁。 Q4：川普向伊朗示威者喊話「救兵快來了」，是否可能逆轉抗爭局勢？ A：在伊朗政府全面切斷網路並開始武力鎮壓的同時，國際社會也非常關注美國總統川普的下一步行動。這一方面是因為川普政府一直視伊朗政府為全球最大的反美恐怖主義支持者，在2025年6月美軍轟炸伊朗核設施的行動之後，華府要求德黑蘭放棄發展核武的核談判也一直沒進展，這都讓川普非常不耐煩。另一方面，則,0.723145,data_01.txt
12,4,語意切塊,怒卻還是現實裡的日常進行式。！？；因此，當伊朗街頭響起「讓巴勒維王朝回來統治我們」、「國王萬歲！？；」之際，這些口號反映的其實不是對君主統治的懷念與擁戴，而更像是一種情緒性的宣洩──一種對1979年革命與伊朗伊斯蘭共和國的全面否定與挑釁。！？； Q4：川普向伊朗示威者喊話「救兵快來了」，是否可能逆轉抗爭局勢？； A：在伊朗政府全面切斷網路並開始武力鎮壓的同時，國際社會也非常關注美國總統川普的下一步行動。！？；這一方面是因為川普政府一直視伊朗政府為全球最大的反美恐怖主義支持者，在2025年6月美軍轟炸伊朗核設施的行動之後，華府要求德黑蘭放棄發展核武的核談判也一直沒進展，這都讓川普非常不耐煩。！？；另一方面，則是1月3日美軍突襲委內瑞拉、以「毒品恐怖主義通緝犯」之由逮捕委內瑞拉總統馬杜洛（Nicolás Maduro）的行動仍餘波蕩漾，因此這波內部動亂，也被華府戰略鷹派認為是美國乘勝追擊、一舉推翻另一宿敵政權的「機會之窗」。！？；,0.762207,data_01.txt
13,5,固定大小,"析軍事動作與戰術 最被大眾熟知與常被使用的遙測影像是Google Earth，彙整多家遙測影像的虛擬地球，便於使用者操作，遙測影像藉由資訊科技的進步，變成人人可及的資訊。現年26歲、就讀台灣師範大學東亞學系碩士班的溫約瑟，22歲時靠著善用這些公開資訊製作出「解放軍基地與設施地圖」一夕爆紅，他所使用的衛星遙測影像就包括Google Earth、歐盟哥白尼（Copernicus）的哨兵（Sentinel）衛星、微軟Bing Maps與Apple Maps等，加上查證所完成──這樣的技術稱為公開來源情報（Open Source Intelligence, OSINT），美國國家情報總監（Director of National Intelligence, DNI）定義為「專門從公開或商業可用資訊中獲取的情報，目的在解決特定的情報事項或要求」。 針對遙測衛星在軍事情報上的用途，溫約瑟接受《報導者》採訪時指出，公開且免費取得的影像都會受到限制，沒有辦法即時取得，只能當作背景來使用，「像是從央視看到解放軍新聞，逐格去解構畫面上的車輛編號，以及演習場域的地形地貌，但必須再搭配遙測影像建構的3D圖，以",0.711914,data_05.txt
14,5,滑動視窗,"or of National Intelligence, DNI）定義為「專門從公開或商業可用資訊中獲取的情報，目的在解決特定的情報事項或要求」。 針對遙測衛星在軍事情報上的用途，溫約瑟接受《報導者》採訪時指出，公開且免費取得的影像都會受到限制，沒有辦法即時取得，只能當作背景來使用，「像是從央視看到解放軍新聞，逐格去解構畫面上的車輛編號，以及演習場域的地形地貌，但必須再搭配遙測影像建構的3D圖，以及過往建立的資料庫，比對確切的演習地點，才能再自製出解放軍基地與設施地圖。」 溫約瑟解釋，相較之下，國家或情報單位能直接取得國家遙測影像，再利用OSINT工作者所整理的車輛與地形地貌資訊，回溯時間檢視是否有拍攝到相關影像，如果有拍到也可以記錄演習場上的車輛、車種等資訊，甚至可以提前準備拍攝想取得的軍事設施地點清晰影像，「能做的事情就更多了！」 長期研究中國軍事的淡江大學國際事務與戰略研究所副教授林穎佑，則是以廣東潮州旁的福建「大埕灣」與「東山島」為例，國防部早已對外公布過這個地點是中國兩棲登陸重要演訓地點，從溫約瑟所製作的地圖中可見，使用公開免費圖資就拍到正在進行的兩棲演訓，兩棲登陸車輛後面激",0.770508,data_05.txt
15,5,語意切塊,"，彙整多家遙測影像的虛擬地球，便於使用者操作，遙測影像藉由資訊科技的進步，變成人人可及的資訊。！？；現年26歲、就讀台灣師範大學東亞學系碩士班的溫約瑟，22歲時靠著善用這些公開資訊製作出「解放軍基地與設施地圖」一夕爆紅，他所使用的衛星遙測影像就包括Google Earth、歐盟哥白尼（Copernicus）的哨兵（Sentinel）衛星、微軟Bing Maps與Apple Maps等，加上查證所完成──這樣的技術稱為公開來源情報（Open Source Intelligence, OSINT），美國國家情報總監（Director of National Intelligence, DNI）定義為「專門從公開或商業可用資訊中獲取的情報，目的在解決特定的情報事項或要求」。！？；",0.700684,data_05.txt
16,6,固定大小,島永暑礁，從開始填海造陸、原本上面有挖坑，到埋起來後變成其他設施或是空地，以及從沒有飛機跑道到建出跑道，甚至長度的改變都有做長期的監測；甚至可以做到海洋顏色深淺分析，再利用技術判讀港口的深度變化。 曾國欣說明，上述就是影像的加值服務，以前傳輸技術較慢，能取得一張照片已非常不易，但隨著傳輸與接收技術的發展，地面站接收衛星影像變得快速，慢慢衍生出「衛星資訊服務」──簡單說，就是利用影像融合的技術，將影像做各種應用，利用顏色判別海水深淺就是一個例子。 此外，以前只是久久才拍一張照片，可能只會拍到一艘船；隨著衛星提高繞行的密度，傳回地面接收站不只是一張照片，而是持續性的累積多張照片，藉由影像的推疊，可以知道港口裡面的潛艇什麼時候消失、什麼時候回來？曾國欣說：「像是航空母艦這麼大的目標，只要天氣好都拍得到，甚至可以藉由影像畫出路徑，從哪邊開出去，繞多大一圈之後再回來，這些都是透過影像能告訴我們的進階資訊。」 只是，除了科學與遙測技術進步之外，情蒐與研析能力也得同步提升。林穎佑建議，不管是軍方或國安單位，都要提升衛星影像的理解能力，畢竟拍下的影像畫面有點像是「瞎子摸象」、摸到一面牆，情蒐人員要有足,0.606445,data_05.txt
17,6,滑動視窗,"爭；他幫我們看照其他部分，我們提供他們近海的研析資訊。」 對於國安，吳宗信更是罕見願意多談，他舉例：「更精細的遙測衛星可以拍到油槽上方陰影，而陰影的深淺可以利用三維分析出油槽是滿油還是空槽，長期關注下，在敵方戰備時就能預先研判。」在國防安全上，遙測衛星可以做的情蒐工作還有很多。 下一步：國安單位衛星影像的理解能力亟需「升級」 除了國家太空中心之外，早在1993年成立的中央大學太空遙測中心（CSRSR）也會接受衛星影像，目前可以接受除了自主的「福衛五號」之外，還能還可接收法國SPOT-6/7、及Pléiades 1A/1B的光學遙測影像。 中大遙測中心與這兩個商用衛星簽約，衛星通過以桃園中壢中央大學所在位置為中心點，在半徑3,000公里範圍的影像都擁有主導權，東至關島、西到中國甘肅、北到日本北海道，南至南海，可以依據排程控制衛星取像角度進行任務。 中大資源衛星接收站主持人曾國欣指出，正因為涵蓋南海，中大承接政府委託進行南海島礁的監測，超過200個島礁的所有歷史影像都有。例如備受關注的南砂群島永暑礁，從開始填海造陸、原本上面有挖坑，到埋起來後變成其他設施或是空地，以及從沒有飛機跑道到建出跑",0.650391,data_05.txt
18,6,語意切塊,"訊也跟美國很不一樣，應該是要互補而不是競爭；他幫我們看照其他部分，我們提供他們近海的研析資訊。！？；」 對於國安，吳宗信更是罕見願意多談，他舉例：「更精細的遙測衛星可以拍到油槽上方陰影，而陰影的深淺可以利用三維分析出油槽是滿油還是空槽，長期關注下，在敵方戰備時就能預先研判。！？；」在國防安全上，遙測衛星可以做的情蒐工作還有很多。！？； 下一步：國安單位衛星影像的理解能力亟需「升級」 除了國家太空中心之外，早在1993年成立的中央大學太空遙測中心（CSRSR）也會接受衛星影像，目前可以接受除了自主的「福衛五號」之外，還能還可接收法國SPOT-6/7、及Pléiades 1A/1B的光學遙測影像。！？； 中大遙測中心與這兩個商用衛星簽約，衛星通過以桃園中壢中央大學所在位置為中心點，在半徑3,000公里範圍的影像都擁有主導權，東至關島、西到中國甘肅、北到日本北海道，南至南海，可以依據排程控制衛星取像角度進行任務。！？； 中大資源衛星接收站主持人曾國欣指出，正因為涵蓋南海，中大承接政府委託進行南海島礁的監測，超過200個島礁的所有歷史影像都有。！？；",0.62207,data_05.txt
19,7,固定大小,以來也將部分資產轉移至卡達、阿拉伯聯合大公國等海灣鄰國，以規避國際制裁；在這樣的背景下，維持私下的合作默契，讓伊朗持續處於「局勢穩定、但仍遭國際制裁孤立」的現狀，也被普遍認為最符合周邊海灣國家的整體利益。 美國與海灣盟邦對伊朗投鼠忌器的躊躇態度，也反映出華府在中東戰略的另一歷史矛盾：伊拉克的教訓。在1991年第一次波灣戰爭之後，伊拉克庫德族以及伊拉克南方的什葉派穆斯林曾爆發武裝起義、挺身反抗獨裁者海珊（Saddam Hussein）的統治，但其行動卻沒有得到美軍與國際社會的支援，因此很快就遭伊拉克軍隊殘酷鎮壓、甚至報復性的集體屠殺。 然而，2003年英美聯軍入侵伊拉克、以武力推翻海珊政權後，伊拉克卻又因派系對立與部族政治而陷入長期內戰狀態；這不僅讓美國的占領行動付出極為慘重的人力、物力與政治代價，持續動盪的伊拉克更進一步成為貪腐蔓延與宗教極端主義滋生的溫床。 值得注意的是，伊拉克在後海珊時代遭遇的血腥混亂，也成為過去20年來，德黑蘭用於鞏固內部政治團結、說服國民忍受生活困境的經典宣傳案例──意即就算政府的貪腐與威權再令人難以忍受，也比和伊拉克一樣，陷入恐怖主義橫行與戰禍失控的無秩序狀態,0.653809,data_01.txt
